year,dispnum,incidnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,onset,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1992,3556,3556001,Bosnia (Central [> ADM1]),Centroid of > ADM1,17.9537,44.0641,5,1,ArcGIS and GADM,> ADM1,Uses combined ADM2s,65873,Central Bosnia.,zenica,44.1833,17.9,3
1992,3556,3556002,Bosnia (Central Bosnia [ADM2]),Centroid of ADM2,17.6149,44.1111,3,0,ArcGIS and GADM,ADM2,,65873,"The attacks occurred across Bosnia and focused on the towns of Vitez, Novi Travn",vitez,43.8,18.6333,4
1992,3557,3557001,Bosnia-Yugoslavia Border,Midpoint of shared (national) border,19.5079,43.7075,5,1,ArcGIS and cShapes,Point along a line,,66597,bos-yug Border,mid pt of border,44.0447,19.3814,4
1992,3557,3557002,"Foca, Bosnia","Foca, Bosnia",18.7773,43.5055,1,0,latlong.net,Precise location text,,66595,"Foca, 50 miles south of Sarajevo.",foca,44.8333,17.9833,1
1992,3557,3557003,"Sarajevo, Bosnia","Sarajevo, Bosnia",18.4131,43.8563,1,0,latlong.net,Precise location text,,66594,Sarajevo and surrounding towns.,sarajevo,43.85,18.3833,1
1992,3557,3557004,"Sarajevo, Bosnia","Sarajevo, Bosnia",18.4131,43.8563,1,0,latlong.net,Precise location text,,66594,Sarajevo.,sarajevo,43.85,18.3833,1
1992,3557,3557005,Bosnia-Croatia Border,Midpoint of shared (national) border,15.9539,45.2248,5,0,ArcGIS and cShapes,Point along a line,Ignores enclave,64429,Croatia-Bosnia border.,trzac,44.9833,15.7667,4
1992,3557,3557006,"Brod, Bosnia","Brod, Bosnia",17.9937,45.1455,1,0,latlong.net,Precise location text,,64433,Bosanski Brod on the Bosnia-Croatia border.,bosanski brod,45.1333,17.9833,1
1992,3557,3557007,"Sarajevo, Bosnia","Sarajevo, Bosnia",18.4131,43.8563,1,0,latlong.net,Precise location text,,66594,Sarajevo.,sarajevo,43.85,18.3833,1
1992,3557,3557008,"Gorazde, Bosnia","Gorazde, Bosnia",18.9749,43.6685,1,0,latlong.net,Precise location text,,66595,Gorazde near Pale.,gorazde,43.6667,18.9667,1
1992,3557,3557009,"Srebrenica, Bosnia","Srebrenica, Bosnia",19.2997,44.104,1,0,latlong.net,Precise location text,,65876,Srebrenica.,srebrenica,44.1,19.2833,1
1992,3558,3558001,Moldova-Ukraine Border,Midpoint of shared (national) border,29.5903,47.0142,5,1,ArcGIS and cShapes,Point along a line,,61497,usr-moldova Border,mid pt of border,47.27,29.3978,4
1992,3559,3559001,"Sevastopol, Ukraine","Sevastopol, Ukraine",33.5254,44.6166,1,1,latlong.net,Precise location text,,65105,Sevastopol,Sevastopol,53.4556,35.1836,1
1992,3560,3560001,Estonia (Ida-Viru [ADM1])-Russia Border,Midpoint of shared (subnational) border,28.1176,59.2973,5,1,ArcGIS and GADM,Point along a line,,44202,"Tallinn, Narva","Tallinn, Estonia",59.4339,24.7281,1
1992,3561,3561001,Georgia (Abkhazia [ADM1]),Centroid of ADM1,41.1815,43.1038,4,1,ArcGIS and GADM,ADM1,,67280,Abkhazia,Abkhazia,43,41,3
1992,3561,3561002,"Sukhumi, Georgia","Sukhumi, Georgia",41.0234,43.0015,2,0,latlong.net,Near,,67280,"Village of Nizhnaya Eshera, on Gumista River near Sukhumi, GRG",sokhumi,43,40.9833,2
1992,3561,3561003,"Sokhumi, Georgia","Sokhumi, Georgia",41.0234,43.0015,1,0,latlong.net,Precise location text,,67280,"Sukhumi, GRG",sokhumi,43,40.9833,1
1992,3561,3561004,Georgia,Centroid of ADM0,43.5174,42.1763,6,0,ArcGIS and cShapes,State,,68645,Throughout GRG,,,,7
1992,3561,3561005,Georgia (Abkhazia [ADM1]),Centroid of ADM1,41.1815,43.1038,4,0,ArcGIS and GADM,ADM1,,67280,RUS forces in Abkhazia,sokhumi,43,40.9833,3
1992,3561,3561006,"Sukhumi, Georgia","Sukhumi, Georgia",41.0234,43.0015,1,0,latlong.net,Precise location text,,67280,"Sukhumi, Coastal GRG",sokhumi,43,40.9833,1
1992,3561,3561007,Georgia (Sukhumi [ADM2]),Centroid of ADM2,41.0192,43.2453,3,0,ArcGIS and GADM,ADM2,,67280,"RUS military installations in Sukhumi, GRG",sokhumi,43,40.9833,3
1992,3561,3561008,Georgia (Abkhazia [ADM1]),Centroid of ADM1,41.1815,43.1038,4,0,ArcGIS and GADM,ADM1,,67280,"RUS installations in Abkhazia, GRG",sokhumi,43,40.9833,3
1992,3561,3561009,"Sukhumi, Georgia","Sukhumi, Georgia",41.0234,43.0015,2,0,latlong.net,Near,,67280,"Near Sukhumi, GRG",sokhumi,43,40.9833,2
1992,3563,3563001,Unspecified,,,,-99,1,,Location unclear or unspecified,,,.,,,,7
1992,3564,3564001,Azerbaijan (Nagorno-Karabakh [> ADM1]),Centroid of > ADM1,46.7669,39.9003,5,1,ArcGIS and GADM,> ADM1,,72251,Nagorno-Karabagh,Nagorno-Karabakh,40,46.5833,3
1992,3564,3564002,Armenia-Azerbaijan Border,Midpoint of shared (national) border,45.7991,40.0218,5,0,ArcGIS and cShapes,Point along a line,Ignores enclave,71529,AZE western border with ARM.,melikpeya,39.55,46.5833,4
1992,3564,3564003,Azerbaijan (Khojaly [ADM2]),Centroid of ADM2,46.7012,39.8586,3,0,ArcGIS and GADM,ADM2,Dual event; Both in same ADM2,72251,"The cities of Kholjey, Khodzhaly, and Askeran.",askeran,39.9333,47.3,1
1992,3564,3564004,Azerbaijan (Qazax [ADM2]),Centroid of ADM2,45.2232,41.1845,3,0,ArcGIS and GADM,ADM2,,70088,"ARM and AZE border (villages of Barkhudarly, Sofulu, Kazanchi)",barkudarly,40.9833,45.2,4
1992,3564,3564005,Nagorno-Karabahk (Fizuli [ADM1]),Centroid of ADM1,47.3237,39.5623,4,0,ArcGIS and GADM,ADM1,Could not locate Geramboy,72252,The Fizuli region of Southeast Nagorno-Karabahk and Geramboy to the north.,xankandi,39.8,46.7333,3
1992,3564,3564006,"Susa, Nagorno-Karabahk","Susa, Nagorno-Karabahk",46.7465,39.7537,1,0,latlong.net,Precise location text,,72251,Shusha in Nagorno-Karabahk.,susa,39.75,46.7333,1
1992,3564,3564007,"Susa, Nagorno-Karabahk","Susa, Nagorno-Karabahk",46.7465,39.7537,1,0,latlong.net,Precise location text,,72251,Shusha in Nagorno-Karabahk.,susa,39.75,46.7333,1
1992,3564,3564008,"Lachin, Azerbaijan","Lachin, Azerbaijan",46.5461,39.6383,2,0,latlong.net,Near,,72251,Western AZE near the town of Lachin.,lachin,39.6333,46.5333,3
1992,3564,3564009,Azerbaijan (Eastern Nagorno-Karabahk [> ADM1]),Centroid of > ADM1,46.776,39.9168,5,0,ArcGIS and GADM,> ADM1,,72251,Eastern part of Nagorno-Karabahk.,xocavand,39.7833,47.1,3
1992,3564,3564010,Azerbaijan (Agdam [ADM2]),Centroid of ADM2,46.9898,40.0213,3,0,ArcGIS and GADM,ADM2,Dual event; Both in same ADM2,71531,The villages of Syrkhavend and Kazanchi.,srkhavend,40.0167,46.65,1
1992,3564,3564011,Nagorno-Karabahk (Tartar [ADM1]),Centroid of ADM1,46.7328,40.2495,4,0,ArcGIS and GADM,ADM1,,71531,Mardakert region of Nagorno-Karabahk.,madakert,40.2,46.8167,3
1992,3564,3564012,Nagorno-Karabahk (Tartar [ADM1]),Centroid of ADM1,46.7328,40.2495,4,0,ArcGIS and GADM,ADM1,,71531,Mardakertskiy Rayon.,madakert,40.2,46.8167,3
1992,3564,3564013,Armenia-Azerbaijan Border,Midpoint of shared (national) border,45.7991,40.0218,5,0,ArcGIS and cShapes,Point along a line,Ignores enclave,71529,Northwestern AZE and Northeastern ARM.,choratan,40.8667,45.5333,3
1992,3564,3564014,Nagorno-Karabahk (Kelbadjar [ADM1]),Centroid of ADM1,46.4978,40.1086,4,0,ArcGIS and GADM,ADM1,,71530,Kelbadjar district of AZE.,kalbacar,40.1,46.0333,3
1992,3564,3564015,Armenia-Azerbaijan Border,Midpoint of shared (national) border,45.7991,40.0218,5,0,ArcGIS and cShapes,Point along a line,Ignores enclave,71529,ARM and AZE border.,melikpeya,39.55,46.5833,4
1992,3565,3565001,"Sao Domengis, Guinea Bissau","Sao Domengis, Guinea Bissau",-16.1963,12.4101,1,1,latlong.net,Precise location text,,111965,Sao Domengis,guin-sen border,12.7053,-15.1861,4
1992,3566,3566001,Iran-Iraq Border,Midpoint of shared (national) border,45.6418,33.7638,5,1,ArcGIS and cShapes,Point along a line,,80889,Ashaf Iraq and border,irq-irn border,33.7589,45.5497,4
1992,3567,3567001,"Abu Musa Island, Iran","Abu Musa Island, Iran",55.0328,25.8797,2,1,latlong.net,Island,,92428,Abu Musa,"Abu Musa Island, Iran",25.875,55.03,3
1992,3568,3568001,Iraq-Kuwait Border,Midpoint of shared (national) border,47.0836,29.8809,5,1,ArcGIS and cShapes,Point along a line,,86652,North Kuwait - azmiya border post,abdali,30.0589,47.6633,3
1992,3569,3569001,Qatar-Saudi Arabia Border,Midpoint of shared (national) border,51.0141,24.5707,5,1,ArcGIS and cShapes,Point along a line,,93860,qatar-saudi Border,mid pt of border,24.6325,51.025,4
1992,3570,3570001,Korean Demilitarized Zone,Centroid of DMZ,127.474,38.2539,3,1,ArcGIS and ESRI,ADM2 like,,74252,DMZ,mid pt of border,38.3561,127.463,4
1992,3572,3572001,Indonesia-Papua New Guinea Border,Midpoint of shared (national) border,141.006,-5.95494,5,1,ArcGIS and cShapes,Point along a line,,137640,png-indonesia Border,mid pt of border,-5.92195,141.094,4
1992,3573,3573001,Malaysia-Singapore Border (Territorial Waters),Midpoint of shared (territorial water) border,103.839,1.47088,5,1,ArcGIS and Marine Regions,Point along a line,,127565,Island off Malay Peninsula,Phuket,7.88333,98.4,3
1992,3574,3574001,Myanmar-Thailand Border,Midpoint of shared (national) border,98.7793,16.3433,5,1,ArcGIS and cShapes,Point along a line,,106035,burma-thai Border (Hill 491),mid pt of border,16.2642,98.7703,4
1993,3551,3551003,Yugoslavia Territorial Waters,Centroid of territorial waters,18.9136,42.0486,3,0,ArcGIS and Marine Regions,Territorial waters,,68755,"Adriatic Coast, YUG",petrovac,42.2,18.9167,4
1993,3551,3551004,Adriatic Sea,Adriatic Sea,17.2903,41.8551,5,0,latlong.net,Sea,,69472,Adriatic Sea,adriatic sea,43,16,5
1993,3551,3551005,Danube River,Midpoint of river,20.3259,45.0941,5,0,ArcGIS and Natural Earth Data,Point along a line,,64438,"Danube River, YUG sector",zemun,44.8333,20.4167,4
1993,3551,3551006,Danube River,Midpoint of river,20.3259,45.0941,5,0,ArcGIS and Natural Earth Data,Point along a line,,64438,Danube River,zemun,44.8333,20.4167,4
1993,3551,3551007,Yugoslavia (Kosovo [> ADM1]),Centroid of > ADM1,20.8755,42.5659,5,0,ArcGIS and GADM,> ADM1,,68039,"Kosovo province, YUG",kosovo,42.5833,21,5
1993,3551,3551008,Bosnia,Centroid of ADM0,17.7865,44.1681,6,0,ArcGIS and cShapes,State,,65873,safe areas of BOS,srebrenica,44.1,19.2833,3
1993,3551,3551009,Yugoslavia Territorial Waters,Centroid of territorial waters,18.9136,42.0486,3,0,ArcGIS and Marine Regions,Territorial waters,,68755,The 12 mile area of Yugoslavia's territorial waters in the Adriatic.,petrovac,42.2,18.9167,2
1993,3551,3551010,Unspecified,,,,-99,0,,Location unclear or unspecified,,,NA,,,,7
1993,3552,3552006,Persian Gulf,Persian Gulf,51.6834,26.7505,4,0,latlong.net,Gulf,,90981,Persian Gulf,persian gulf,27,51,5
1993,3552,3552007,Iraq (Dhi Qar [ADM] and Maysan [ADM1]),Centroid of > ADM1,46.7256,31.601,5,0,ArcGIS and GADM,> ADM1,,83771,"Targets included radar stations at Iraq's Talill airbase near Nasiriya, Al Amara",nasiriyah,31.0333,46.2333,3
1993,3552,3552008,Unspecified,,,,-99,0,,Location unclear or unspecified,,,NA,,,,7
1993,3552,3552009,"Baghdad, Iraq","Baghdad, Iraq",44.3615,33.3128,8,0,latlong.net,Capital,,81606,Iraq,baghdad,33.3167,44.4167,5
1993,3552,3552010,Unspecified,,,,-99,0,,Location unclear or unspecified,,,No specific target given.,,,,7
1993,3552,3552011,Unspecified,,,,-99,0,,Location unclear or unspecified,,,NA,,,,7
1993,3552,3552012,Iraq (Southern NFZ [> ADM1]),Centroid of Southern NFZ,45.0445,30.8339,5,0,ArcGIS and ESRI,> ADM1,,85208,Several miles south of the southern flight exclusion zone in Iraq (south of the,basra,30.4833,47.8167,2
1993,3552,3552013,"Mosul, Iraq","Mosul, Iraq",43.164,36.3566,2,0,latlong.net,Near,,77364,"The northern flight-exclusion zone in Iraq, 10 miles north of Mosul.",mosul,36.3333,43.1333,3
1993,3552,3552014,Iraq,Centroid of ADM0,43.7721,33.048,6,0,ArcGIS and cShapes,State,Dual event; ADM1s not contiguous,81605,1. Mosul - Northern no-fly zone 2. Zaafaraniya industrial center in Baghdad 3. N,mosul,36.3333,43.1333,1
1993,3552,3552015,Iraq-Kuwait Border,Midpoint of shared (national) border,47.0836,29.8809,5,0,ArcGIS and cShapes,Point along a line,,86652,KUW-IRQ border,umm qasr,30.0167,47.9333,4
1993,3552,3552016,Unspecified,,,,-99,0,,Location unclear or unspecified,,,Exact target locations not specified.,,,,7
1993,3552,3552017,"Mosul, Iraq","Mosul, Iraq",43.164,36.3566,2,0,latlong.net,Near,,77364,"In the northern flight exclusion zone in Iraq, 10 miles south of Mosul.",mosul,36.3333,43.1333,3
1993,3552,3552018,"Mosul, Iraq","Mosul, Iraq",43.164,36.3566,2,0,latlong.net,Near,,77364,15 miles east of Mosul in the northern flight exclusion zone in Iraq.,mosul,36.3333,43.1333,2
1993,3552,3552019,"Nasiriya, Iraq","Nasiriya, Iraq",46.2666,31.0452,2,0,latlong.net,Near,,84490,"In the southern no-flight zone in Iraq, near Nasiriya.",nasiriyah,31.0333,46.2333,3
1993,3552,3552020,Iraq (Southern NFZ [> ADM1]),Centroid of Southern NFZ,45.0445,30.8339,5,0,ArcGIS and ESRI,> ADM1,,85208,"In the southern flight exclusion zone, 2 miles east of Saddam Dam and 20 miles n",musharraf,36.4833,42.8333,3
1993,3552,3552021,Iraq (Northern NFZ [> ADM1]),Centroid of Northern NFZ,43.376,36.5531,5,0,ArcGIS and ESRI,> ADM1,,76644,Close to Northern NFZ over IRQ,mosul,36.3333,43.1333,3
1993,3552,3552022,Iraq (Northern NFZ [> ADM1]),Centroid of Northern NFZ,43.376,36.5531,5,0,ArcGIS and ESRI,> ADM1,,76644,A few miles south of the northern flight exclusion zone in Iraq. Precise locati,mosul,36.3333,43.1333,2
1993,3552,3552023,"Port Said, Egypt","Port Said, Egypt",32.3019,31.2653,1,0,latlong.net,Precise location text,,84542,Suez Canal and Port Said,port said,31.25,32.2833,1
1993,3552,3552024,"Basra, Iraq","Basra, Iraq",47.7835,30.5081,2,0,latlong.net,Near,,85213,"The southern flight exclusion zone in Iraq, near Basra.",basra,30.4833,47.8167,3
1993,3552,3552025,Iraq-Saudi Arabia Border,Midpoint of shared (national) border,42.8963,30.5363,5,0,ArcGIS and cShapes,Point along a line,,85283,IRQ-SAU border,rafhah,29.6167,43.5,4
1993,3552,3552026,Iraq (Basrah [ADM1]),Centroid of ADM1,47.3804,30.3864,4,0,ArcGIS and GADM,ADM1,,85932,"In the southern no-fly zone, 80 miles south of the 32d parallel in the Basra pro",basra,30.4833,47.8167,3
1993,3552,3552027,"Mosul, Iraq","Mosul, Iraq",43.164,36.3566,2,0,latlong.net,Near,,77364,"In the northern flight exclusion zone, west of Mosul",mosul,36.3333,43.1333,3
1993,3552,3552028,Unspecified,,,,-99,0,,Location unclear or unspecified,,,No specific location cited.,,,,7
1993,3552,3552029,Iraq (Southern NFZ [> ADM1]),Centroid of Southern NFZ,45.0445,30.8339,5,0,ArcGIS and ESRI,> ADM1,,85208,"Southern Iraqi No-fly Zone, south of the 32nd parallel.",nasiriyah,31.0333,46.2333,3
1993,3552,3552030,Persian Gulf,Persian Gulf,51.6834,26.7505,4,0,latlong.net,Gulf,,90981,Kuwait and the Persian Gulf,kuwait city,29.3167,47.9667,5
1993,3552,3552031,Iraq (Southern NFZ [> ADM1]),Centroid of Southern NFZ,45.0445,30.8339,5,0,ArcGIS and ESRI,> ADM1,,85208,"Southern Iraq, below 32nd parallel.",basra,30.4833,47.8167,3
1993,3552,3552032,Kuwait Territorial Waters,Centroid of territorial waters,48.4159,29.1968,3,0,ArcGIS and Marine Regions,Territorial waters,,87374,Kuwaiti beaches,al fintas,29.1667,48.1167,4
1993,3552,3552033,"Kuwait City, Kuwait","Kuwait City, Kuwait",47.9774,29.3759,8,0,latlong.net,Capital,,87373,Kuwait,kuwait city,29.3167,47.9667,5
1993,3557,3557010,Drina River,Midpoint of river,19.2682,43.8126,5,0,ArcGIS and Natural Earth Data,Point along a line,,66596,"Drina River, Eastern BOS and Western YUG",drina river,44.8833,19.35,4
1993,3557,3557011,Unspecified,,,,-99,0,,Location unclear or unspecified,,,NA,,,,7
1993,3561,3561010,"Sukhumi, Georgia","Sukhumi, Georgia",41.0234,43.0015,2,0,latlong.net,Near,,67280,"Near Sukhumi, GRG",sokhumi,43,40.9833,2
1993,3561,3561011,"Eshera, Georgia","Eshera, Georgia",40.9047,43.0776,1,0,latlong.net,Precise location text,,67279,"Eshera (near Sukhumi), GRG",sokhumi,43,40.9833,3
1993,3561,3561012,Georgia (Abkhazia [ADM1]),Centroid of ADM1,41.1815,43.1038,4,0,ArcGIS and GADM,ADM1,,67280,Abkhazia,sokhumi,43,40.9833,3
1993,3561,3561013,Georgia-Russia (Kabardino-Balkaria [ADM1]) Border,Midpoint of shared (subnational) border,42.9829,43.1103,5,0,ArcGIS and GADM,Point along a line,,67283,"Near GRG border with RUS, in ethnic province of Kabardino-Balkaria; west of GRG",43.0333,42.7167,4,5
1993,3561,3561014,Psou River,Psou River,40.4104,43.5522,5,0,Point estimate and latlong.net,Point along a line,,66558,"Across Psou River, GRG-RUS border",shovi,42.6833,43.7,4
1993,3561,3561015,"Sokhumi, Georgia","Sokhumi, Georgia",41.0234,43.0015,1,0,latlong.net,Precise location text,,67280,"Sukhumi, GRG",sokhumi,43,40.9833,1
1993,3561,3561016,"Ankalia, Georgia","Ankalia, Georgia",41.5817,42.4003,1,0,latlong.net,Precise location text,,68721,"Ankalia, Western GRG - 18 miles southwest of Zugdidi, GRG",anaklia,42.4,41.55,1
1993,3561,3561017,"Ankalia, Georgia","Ankalia, Georgia",41.5817,42.4003,1,0,latlong.net,Precise location text,,68721,"Ankalia, western GRG",anaklia,42.4,41.55,1
1993,3561,3561018,Georgia (Abkhazia [ADM1]),Centroid of ADM1,41.1815,43.1038,4,0,ArcGIS and GADM,ADM1,,67280,Abkhazia in Georgia.,sokhumi,43,40.9833,3
1993,3561,3561019,Georgia (Abkhazia [ADM1]),Centroid of ADM1,41.1815,43.1038,4,0,ArcGIS and GADM,ADM1,,67280,"The threat is relevant for Georgia as a whole, but Abkhazia is the most relevant",sokhumi,43,40.9833,3
1993,3561,3561020,Georgia-Russia Border,Midpoint of shared (national) border,43.549,42.8639,5,0,ArcGIS and cShapes,Point along a line,,67925,The Georgian-Russian border.,shovi,42.6833,43.7,4
1993,3561,3561021,Georgia (Abkhazia [ADM1]),Centroid of ADM1,41.1815,43.1038,4,0,ArcGIS and GADM,ADM1,Dual event; ADM2s not contiguous,67280,Sukhumi and Ochamchire in Abkhazia.,ochamchire,42.7,41.45,1
1993,3561,3561022,"Lata, Georgia","Lata, Georgia",41.4812,43.0326,2,0,latlong.net,Near,,67280,"Abkhazia, possibly in the vicinity of the Lata village.",lata,43.0167,41.4833,3
1993,3561,3561023,"Gudauta, Georgia","Gudauta, Georgia",40.6183,43.1024,2,0,latlong.net,Near,,67279,The village Nizhnyaya Eshera in Abkhazia. The village is close to Gudauta.,gudauta,43.1,40.6333,3
1993,3561,3561024,Georgia,Centroid of ADM0,43.5174,42.1763,6,0,ArcGIS and cShapes,State,,68645,Georgia - applicable to all Russian troops in Georgia.,sokhumi,43,40.9833,5
1993,3561,3561025,"Khashuri, Georgia","Khashuri, Georgia",43.5866,41.9838,1,0,latlong.net,Precise location text,,69365,"Khashuri, west of Gori, a town near Tskhinvali. Tskhinvali is the capital of Sou",khashuri,41.9833,43.5833,1
1993,3561,3561026,"Tskhinvali, Georgia","Tskhinvali, Georgia",43.9644,42.2215,1,0,latlong.net,Precise location text,,68645,Tskhinvali in South Ossetia.,tskhinvali,42.2167,43.95,1
1993,3564,3564016,Azerbaijan (Nagorno-Karabakh [> ADM1]),Centroid of > ADM1,46.7669,39.9003,5,0,ArcGIS and GADM,> ADM1,,72251,Nagorno-Karabakh,xankandi,39.8,46.7333,3
1993,3564,3564017,Azerbaijan (Nagorno-Karabakh [> ADM1]),Centroid of > ADM1,46.7669,39.9003,5,0,ArcGIS and GADM,> ADM1,,72251,Karabakh region of AZE,karabakh plateau,39.8167,46.05,3
1993,3564,3564018,"Armenia, Azerbaijan, Turkey Border",Intersection of borders,44.7789,39.7064,5,0,ArcGIS and cShapes,Point along a line,,72247,"TUR-ARM-AZE border, near Nagorno-Karabakh",sadarak,39.7,44.85,4
1993,3564,3564019,Armenia-Turkey Border,Midpoint of shared (national) border,43.6501,40.1234,5,0,ArcGIS and cShapes,Point along a line,,71525,"TUR-ARM border, Northeast TUR",ibis,40.95,43.6,4
1993,3564,3564020,Azerbaijan (Fizuli [ADM2]),Centroid of ADM2,47.3237,39.5623,3,0,ArcGIS and GADM,ADM2,,72252,Southern part of Azerbaijan and Fizuli (An Azerbaijani town),salyan,39.5833,48.95,3
1993,3564,3564021,Armenia-Turkey Border,Midpoint of shared (national) border,43.6501,40.1234,5,0,ArcGIS and cShapes,Point along a line,,71525,Turkish-Armenian border,tuzluca,40.0333,43.6333,4
1993,3564,3564022,"Yerevan, Armenia","Yerevan, Armenia",44.4991,40.1792,8,0,latlong.net,Capital,,71526,Armenia,yerevan,40.2,44.5167,5
1993,3564,3564023,Unspecified,,,,-99,0,,Location unclear or unspecified,,,NA,,,,7
1993,3564,3564025,"Kafan, Armenia","Kafan, Armenia",46.4068,39.2077,1,0,latlong.net,Precise location text,,72970,Armenian town of Kafan,kafan,39.1833,46.3833,1
1993,3564,3564026,Armenia-Iran Border,Midpoint of shared (national) border,46.3535,38.9097,5,0,ArcGIS and cShapes,Point along a line,,73690,Iranian-Armenian border,meghri,38.8833,48.25,4
1993,3564,3564027,Armenia-Turkey Border,Midpoint of shared (national) border,43.6501,40.1234,5,0,ArcGIS and cShapes,Point along a line,,71525,Turkish-Armenian border,tuzluca,40.0333,43.6333,4
1993,3564,3564028,Armenia-Turkey Border,Midpoint of shared (national) border,43.6501,40.1234,5,0,ArcGIS and cShapes,Point along a line,,71525,TUR-ARM border,tuzluca,40.0333,43.6333,4
1993,3564,3564029,Armenia-Turkey Border,Midpoint of shared (national) border,43.6501,40.1234,5,0,ArcGIS and cShapes,Point along a line,,71525,ARM-TUR border,tuzluca,40.0333,43.6333,4
1993,3564,3564030,Armenia-Turkey Border,Midpoint of shared (national) border,43.6501,40.1234,5,0,ArcGIS and cShapes,Point along a line,,71525,ARM-TUR border,tuzluca,40.0333,43.6333,4
1993,3564,3564031,Armenia-Turkey Border,Midpoint of shared (national) border,43.6501,40.1234,5,0,ArcGIS and cShapes,Point along a line,,71525,Turkish-Armenian border,tuzluca,40.0333,43.6333,4
1993,3564,3564032,Armenia-Turkey Border,Midpoint of shared (national) border,43.6501,40.1234,5,0,ArcGIS and cShapes,Point along a line,,71525,Turkey's border with Armenia,tuzluca,40.0333,43.6333,4
1993,3564,3564033,Unspecified,,,,-99,0,,Location unclear or unspecified,,,NA,,,,7
